,log2FoldChange,padj,baseMean,name
ENSG00000156110,1.637456648,2.39E-05,1063.747634,
ENSG00000198161,1.637124997,0.317834057,1.941453666,
ENSG00000265168,1.636521077,0.394834462,0.438310636,
ENSG00000168079,1.63650656,0.370148013,2.993502894,
ENSG00000206808,1.635847737,NA,0.4191283,
ENSG00000175595,1.635435281,3.12E-06,502.7930262,
ENSG00000103148,1.635134557,5.44E-05,631.3847395,
ENSG00000140043,1.634600628,0.002604274,61.27339922,
ENSG00000224786,1.634405236,0.341948538,2.556330274,
ENSG00000269050,1.63435856,NA,0.426189147,
ENSG00000128694,1.634000927,1.28E-06,121.834769,
ENSG00000240040,1.633715877,0.00388784,167.3007905,
ENSG00000072501,1.633387823,0.002111585,4866.68724,
ENSG00000269608,1.632793409,0.390640429,0.590552785,
ENSG00000171282,1.63245804,0.393864876,0.826539343,
ENSG00000181819,1.632427041,0.003845732,16.83815084,
ENSG00000213593,1.632134545,1.78E-08,1395.035346,
ENSG00000242562,1.632101983,NA,0.365663659,
ENSG00000169189,1.631834214,4.96E-08,409.1867892,
ENSG00000118600,1.631694306,1.22E-12,431.7694869,
ENSG00000158201,1.631420848,1.73E-09,1747.380359,
ENSG00000120694,1.629931671,3.15E-06,3029.601678,
ENSG00000064205,1.629858821,NA,0.323136279,
ENSG00000144868,1.629578124,0.215787187,14.45127436,
ENSG00000249858,1.629075058,0.137936297,4.322892962,
ENSG00000116062,1.628452338,2.24E-05,2112.93031,
ENSG00000148835,1.628388755,4.11E-07,374.839361,
ENSG00000167186,1.628291328,3.52E-06,244.7703227,
ENSG00000241318,1.628218753,0.370007334,0.840429658,
ENSG00000074660,1.627933029,0.009571076,50.68860457,
ENSG00000112667,1.627724438,2.47E-05,217.0305066,
ENSG00000070950,1.627464481,3.08E-07,553.2266721,
ENSG00000104823,1.626965381,3.90E-05,1085.424829,
ENSG00000224992,1.626104971,0.235014365,2.780023487,
ENSG00000103257,1.625895096,0.0024106,11910.95374,
ENSG00000256894,1.625750086,0.000540797,32.84539559,
ENSG00000105486,1.625472777,5.09E-06,1176.861967,
ENSG00000250526,1.625344057,0.357690246,0.937123077,
ENSG00000253365,1.625127063,0.256969068,30.23141106,
ENSG00000115286,1.624560472,1.46E-16,576.3631557,
ENSG00000237021,1.624531447,0.206675484,4.189634093,
ENSG00000113889,1.62434663,0.395389725,0.869117768,
ENSG00000271943,1.624185214,0.388619215,1.208267557,
ENSG00000142347,1.62380182,1.14E-06,1229.866686,
ENSG00000213002,1.623684464,0.359758905,1.840630866,
ENSG00000173950,1.623583613,0.002125171,94.46045205,
ENSG00000232553,1.623446384,0.038007315,7.01028009,
ENSG00000258744,1.623163246,0.240329664,5.632095733,
ENSG00000271020,1.622795512,0.156969727,5.913290625,
ENSG00000230969,1.622591087,0.143290782,5.569537792,
ENSG00000132259,1.622589032,0.325258467,2.07006101,
ENSG00000105755,1.622542622,2.54E-10,318.1098266,
ENSG00000243989,1.622097959,0.09383929,9.07774114,
ENSG00000234568,1.621601311,0.093527378,6.024718863,
ENSG00000039600,1.620941646,0.087104506,10.09931643,
ENSG00000225490,1.620745646,0.118267129,11.34058257,
ENSG00000185808,1.620586932,4.71E-07,331.7276717,
ENSG00000198270,1.619934141,0.000328551,145.4500046,
ENSG00000164167,1.619930343,0.00014609,702.1254117,
ENSG00000109680,1.619867775,8.85E-05,68.85152548,
ENSG00000258284,1.618820763,0.401299699,0.629268292,
ENSG00000180660,1.618538388,0.376764752,0.836896733,
ENSG00000242474,1.61844652,0.031892507,10.65689153,
ENSG00000233720,1.618334548,0.367427695,2.491092103,
ENSG00000005884,1.617415976,1.62E-05,309.9517053,
ENSG00000243088,1.617222485,0.403392145,0.781470978,
ENSG00000248578,1.616918746,0.148048249,3.817489695,
ENSG00000135363,1.616899732,0.011129665,18.32539338,
ENSG00000151445,1.616786231,2.63E-11,408.4255052,
ENSG00000140876,1.616711982,0.090183925,6.637250697,
ENSG00000205060,1.616142012,1.22E-06,774.5408725,
ENSG00000155380,1.615616108,0.000684295,1904.632301,
ENSG00000105261,1.615492622,0.170538582,12.45497907,
ENSG00000064787,1.614887333,0.032200117,61.87700908,
ENSG00000176273,1.614844497,0.019710732,87.88279219,
ENSG00000122140,1.614704189,0.003483188,709.0725541,
ENSG00000183963,1.614424967,2.04E-09,392.7832536,
ENSG00000265478,1.61407802,0.293686482,3.175678949,
ENSG00000100578,1.614034192,5.50E-06,670.7117929,
ENSG00000100075,1.612624223,5.08E-06,971.3168181,
ENSG00000126264,1.61243838,9.80E-05,398.4431032,
ENSG00000267149,1.612054775,0.312686183,2.453480626,
ENSG00000250273,1.612036892,0.000791599,33.27294276,
ENSG00000228335,1.611814908,0.169374706,2.993229048,
ENSG00000168404,1.611367636,0.000162327,1143.202529,
ENSG00000258410,1.610911881,0.379609277,1.313154617,
ENSG00000232815,1.609973218,0.00061896,168.7118208,
ENSG00000226259,1.609822905,0.000185791,870.3998,
ENSG00000143401,1.609472515,6.41E-05,5008.308606,
ENSG00000131470,1.609192099,1.78E-07,123.397393,
ENSG00000228264,1.608424696,0.401299699,0.849038848,
ENSG00000080608,1.608196475,1.48E-09,832.8350352,
ENSG00000178894,1.607874327,0.352125305,2.203727255,
ENSG00000235897,1.60758256,0.351579079,1.295298387,
ENSG00000166881,1.607289637,0.000110952,1553.91372,
ENSG00000233087,1.607043282,0.000473448,69.84556489,
ENSG00000156017,1.606790008,2.13E-07,669.5421177,
ENSG00000006327,1.606756986,0.019292877,11.68054188,
ENSG00000243008,1.606354325,0.407798112,0.72406622,
ENSG00000240754,1.606196422,1.43E-05,316.8218977,
ENSG00000219951,1.605796665,0.396037032,0.430877406,
ENSG00000196693,1.605751306,3.23E-05,474.4202375,
ENSG00000111325,1.605680998,0.006711205,39.60573006,
ENSG00000260410,1.605458648,0.406730507,0.688740275,
ENSG00000111850,1.605357896,0.004936355,85.98269969,
ENSG00000119616,1.605339223,1.66E-07,991.7937414,
ENSG00000252128,1.6053338,NA,0.313661734,
ENSG00000118420,1.605183943,2.49E-08,128.8722371,
ENSG00000185238,1.604837631,6.45E-09,554.5217306,
ENSG00000160767,1.604521829,0.001477609,228.1093902,
ENSG00000220161,1.60448711,0.254868845,1.86826649,
ENSG00000221930,1.604080903,1.16E-07,236.7625411,
ENSG00000231952,1.603901681,0.001500022,27.7684678,
ENSG00000157483,1.603607767,0.001789441,478.6206932,
ENSG00000143341,1.603571133,NA,0.191733451,
ENSG00000228236,1.603571133,NA,0.191733451,
ENSG00000230863,1.603571133,NA,0.191733451,
ENSG00000258430,1.603571133,NA,0.191733451,
ENSG00000272347,1.603571133,NA,0.191733451,
ENSG00000146281,1.60355972,1.67E-09,1122.577304,
ENSG00000173085,1.603474173,9.37E-09,141.3019283,
ENSG00000184402,1.603001586,0.000175722,307.4762477,
ENSG00000227689,1.602769421,0.217544992,4.15569481,
ENSG00000231625,1.602412699,NA,0.324685751,
ENSG00000130045,1.601850611,NA,0.327746393,
ENSG00000080822,1.601824125,3.44E-05,4448.882111,
ENSG00000115241,1.601111122,4.21E-05,2982.044899,
ENSG00000170703,1.601056076,NA,0.400068494,
ENSG00000108424,1.600529923,2.29E-05,6583.667944,
ENSG00000148843,1.59974459,1.65E-06,1494.731047,
ENSG00000257675,1.59916366,0.366058716,0.881039717,
ENSG00000185015,1.599065148,0.004515926,62.6753594,
ENSG00000175573,1.598889551,2.37E-06,519.1891434,
ENSG00000169756,1.597914299,1.76E-06,1336.467541,
ENSG00000211918,1.597678399,0.069466473,64.10703526,
ENSG00000177302,1.597650664,4.55E-07,1013.693779,
ENSG00000188512,1.597257311,0.109442876,5.012187427,
ENSG00000179965,1.597201775,0.003135518,23.97241861,
ENSG00000240671,1.59712709,4.54E-05,20599.85093,
ENSG00000166448,1.596871342,NA,0.323207151,
ENSG00000227060,1.596871342,NA,0.323207151,
ENSG00000234005,1.596396475,NA,0.414803218,
ENSG00000176884,1.59633467,NA,0.326267793,
ENSG00000066455,1.596246607,6.42E-07,1559.644187,
ENSG00000158806,1.595768421,0.26060915,2.474982951,
ENSG00000250565,1.595691343,0.000299037,149.3557432,
ENSG00000228834,1.595359817,0.323477427,1.332984205,
ENSG00000158467,1.594887899,4.61E-06,342.6997394,
ENSG00000176485,1.594791943,0.026579506,214.0380359,
ENSG00000267588,1.594227835,0.407844831,0.707079142,
ENSG00000159961,1.593635967,0.31537667,1.614425563,
ENSG00000185627,1.592797289,5.75E-09,4188.304383,
ENSG00000256799,1.592598382,0.410679651,0.514301611,
ENSG00000163121,1.592568003,0.345760288,3.324241016,
ENSG00000137976,1.592346202,NA,0.199015731,
ENSG00000160963,1.592346202,NA,0.199015731,
ENSG00000201469,1.592346202,NA,0.199015731,
ENSG00000229921,1.592346202,NA,0.199015731,
ENSG00000265386,1.592346202,NA,0.199015731,
ENSG00000239096,1.592243636,0.39518228,1.158172147,
ENSG00000236859,1.592121722,0.000285485,55.64354472,
ENSG00000117411,1.591984473,0.001649826,611.9143966,
ENSG00000047849,1.591795216,6.93E-05,2378.583348,
ENSG00000180581,1.591750795,4.90E-05,1873.168458,
ENSG00000256771,1.591380498,7.58E-07,494.5851805,
ENSG00000179091,1.591101848,2.95E-08,2081.107695,
ENSG00000154582,1.590935283,0.00029371,2052.545542,
ENSG00000196262,1.59083022,4.83E-08,27861.86071,
ENSG00000168779,1.59080626,0.376140019,1.587685067,
ENSG00000140575,1.589936558,2.86E-07,8297.543545,
ENSG00000182057,1.58971098,0.076316543,7.903126489,
ENSG00000268186,1.589670808,0.380065022,1.693595869,
ENSG00000256374,1.589312837,0.403438879,0.665382762,
ENSG00000147586,1.589307754,4.53E-12,202.981631,
ENSG00000179131,1.589292893,0.410898203,0.606340204,
ENSG00000134028,1.589136029,0.058846642,8.16776905,
ENSG00000167799,1.589111623,0.000239332,55.59201055,
ENSG00000164168,1.588754959,8.28E-06,1115.749953,
ENSG00000271971,1.588676915,0.066874225,11.4516536,
ENSG00000145777,1.588404098,NA,0.197537132,
ENSG00000164749,1.588404098,NA,0.197537132,
ENSG00000250677,1.588404098,NA,0.197537132,
ENSG00000257443,1.588404098,NA,0.197537132,
ENSG00000258422,1.588404098,NA,0.197537132,
ENSG00000121897,1.588056658,7.98E-06,302.6566639,
ENSG00000176623,1.587830771,5.14E-08,870.1858421,
ENSG00000168906,1.587811665,6.60E-11,3950.590839,
ENSG00000267191,1.587697839,0.34873571,1.302864472,
ENSG00000151413,1.587482524,7.98E-08,214.8000749,
ENSG00000120699,1.58740887,9.85E-08,1303.884207,
ENSG00000218502,1.587392414,0.216518736,2.148882188,
ENSG00000135722,1.58736083,0.003419779,92.07769714,
ENSG00000253467,1.587315981,0.192520356,10.94017582,
ENSG00000173253,1.587191882,0.413878387,0.776700522,
ENSG00000186654,1.587085922,4.89E-06,228.1140377,
ENSG00000248854,1.587072322,NA,0.402914976,
ENSG00000187950,1.58684977,0.233070408,3.115647771,
ENSG00000176753,1.586840113,NA,0.188886969,
ENSG00000205097,1.586840113,NA,0.188886969,
ENSG00000211835,1.586840113,NA,0.188886969,
ENSG00000211847,1.586840113,NA,0.188886969,
ENSG00000213559,1.586840113,NA,0.188886969,
ENSG00000222047,1.586840113,NA,0.188886969,
ENSG00000229976,1.586840113,NA,0.188886969,
ENSG00000235042,1.586840113,NA,0.188886969,
ENSG00000264860,1.586840113,NA,0.188886969,
ENSG00000211965,1.586539124,0.006006471,15541.01392,
ENSG00000260750,1.586485017,NA,0.418341625,
ENSG00000204352,1.586478622,0.000570674,158.2494539,
ENSG00000239774,1.584976163,0.364560099,1.367684482,
ENSG00000168003,1.584922754,0.002159188,6467.575664,
ENSG00000158014,1.584393453,NA,0.196058533,
ENSG00000205076,1.584393453,NA,0.196058533,
ENSG00000258028,1.584393453,NA,0.196058533,
ENSG00000068001,1.584198665,1.53E-06,109.445432,
ENSG00000268267,1.583994994,0.410719374,0.561606801,
ENSG00000255062,1.583600177,0.027314899,16.60394535,
ENSG00000212769,1.58320479,0.290986526,1.593618552,
ENSG00000205659,1.582984771,2.50E-13,760.3517606,
ENSG00000173905,1.582719576,3.13E-05,834.4698671,
ENSG00000260381,1.582255224,0.34074617,1.304628104,
ENSG00000153130,1.582154572,0.001354527,1588.949705,
ENSG00000211654,1.581862057,0.288372264,1900.397892,
ENSG00000266970,1.58170516,0.217804724,7.81560821,
ENSG00000122335,1.581251359,1.03E-05,144.3917961,
ENSG00000173821,1.581233036,2.82E-06,31909.75304,
ENSG00000187097,1.580863283,2.40E-08,339.643794,
ENSG00000006468,1.580568385,NA,0.19469065,
ENSG00000078114,1.580568385,NA,0.19469065,
ENSG00000184111,1.580568385,NA,0.19469065,
ENSG00000198691,1.580568385,NA,0.19469065,
ENSG00000211878,1.580568385,NA,0.19469065,
ENSG00000249978,1.580568385,NA,0.19469065,
ENSG00000175691,1.58050665,0.005125268,36.67864072,
ENSG00000224807,1.58040148,0.244463883,2.743576867,
ENSG00000196193,1.580363422,NA,0.194579933,
ENSG00000225333,1.580363422,NA,0.194579933,
ENSG00000244791,1.580363422,NA,0.194579933,
ENSG00000266920,1.580363422,NA,0.194579933,
ENSG00000185074,1.58027916,0.414312411,0.563477947,
ENSG00000234857,1.580111481,0.066942968,12.91303029,
ENSG00000181163,1.579693046,3.60E-07,27857.91445,
ENSG00000106153,1.579438509,7.98E-05,10950.06725,
ENSG00000162302,1.57943288,3.23E-06,409.2899599,
ENSG00000151773,1.57862866,0.020623111,33.01524617,
ENSG00000082996,1.578580925,5.71E-06,1257.904556,
ENSG00000121039,1.578532503,1.39E-05,159.1196882,
ENSG00000233514,1.578441788,0.079900184,5.415894887,
ENSG00000130830,1.57793888,0.000421632,191.176254,
ENSG00000033627,1.577843259,2.34E-06,1819.814994,
ENSG00000214646,1.577524506,0.29863738,2.607234665,
ENSG00000232520,1.577425642,0.293119367,2.724030838,
ENSG00000144043,1.57732825,6.95E-07,1476.652506,
ENSG00000004700,1.577231141,2.03E-06,1644.104205,
ENSG00000251148,1.57696386,0.407356299,0.90250602,
ENSG00000137411,1.57695119,6.59E-06,1309.039894,
ENSG00000205105,1.57662845,0.010175466,41.54459044,
ENSG00000230622,1.57631376,NA,0.193101334,
ENSG00000084623,1.576004243,3.55E-05,5263.463231,
ENSG00000154719,1.575988501,2.38E-07,1015.620557,
ENSG00000124562,1.575976783,6.47E-11,2177.087993,
ENSG00000258388,1.575467433,0.109531008,9.444706179,
ENSG00000273387,1.574973223,0.249355086,6.330651012,
ENSG00000186132,1.574845015,0.002955373,140.0580114,
ENSG00000217241,1.574719079,0.000594269,31.74750686,
ENSG00000168894,1.574296695,2.81E-05,1535.68367,
ENSG00000249353,1.572718278,2.13E-06,840.9467935,
ENSG00000158793,1.572336007,7.15E-14,500.422524,
ENSG00000160221,1.572254461,3.12E-17,1243.861097,
ENSG00000205106,1.572167138,0.407285991,1.012959499,
ENSG00000232233,1.5720647,0.089000064,5.217548663,
ENSG00000228889,1.571036283,0.04006028,10.5773543,
ENSG00000137074,1.570270907,1.20E-17,771.0098403,
ENSG00000232075,1.570185306,0.407551546,0.992160012,
ENSG00000196663,1.570052076,0.00036249,673.1529648,
ENSG00000238245,1.56997367,0.419376644,0.965350443,
ENSG00000224237,1.569174232,0.197684725,3.674745276,
ENSG00000111671,1.569044127,7.98E-06,94.64391932,
ENSG00000177058,1.569012052,3.11E-06,594.822415,
ENSG00000228719,1.568616947,0.408557937,0.981380658,
ENSG00000211833,1.568568712,NA,0.190365569,
ENSG00000223446,1.568568712,NA,0.190365569,
ENSG00000240747,1.568568712,NA,0.190365569,
ENSG00000258077,1.568568712,NA,0.190365569,
ENSG00000260062,1.568568712,NA,0.190365569,
ENSG00000262358,1.568568712,NA,0.190365569,
ENSG00000159899,1.568383743,0.033335635,36.89775088,
ENSG00000101670,1.568362153,NA,0.190254852,
ENSG00000204334,1.568362153,NA,0.190254852,
ENSG00000235461,1.568362153,NA,0.190254852,
ENSG00000247372,1.568362153,NA,0.190254852,
ENSG00000253433,1.568362153,NA,0.190254852,
ENSG00000265144,1.568362153,NA,0.190254852,
ENSG00000267695,1.568362153,NA,0.190254852,
ENSG00000182685,1.568062673,0.018539707,33.69540772,
ENSG00000211974,1.567149094,0.193682139,10532.01522,
ENSG00000140795,1.566975548,0.173031006,4.478189477,
ENSG00000112208,1.566967522,6.33E-08,520.9858976,
ENSG00000203896,1.566422051,0.00479659,66.00032802,
ENSG00000230583,1.566421469,0.303062906,2.796915216,
ENSG00000263413,1.566186348,0.089150892,21.27165967,
ENSG00000010671,1.565976384,1.64E-10,3529.820743,
ENSG00000125746,1.565344294,2.40E-11,794.2479774,
ENSG00000228113,1.565315732,0.229143061,2.272779994,
ENSG00000258900,1.565282612,0.004541305,19.14323779,
ENSG00000211594,1.564066072,0.000168919,13331.57187,
ENSG00000168765,1.563638644,0.014004281,432.9099639,
ENSG00000183751,1.563557376,1.84E-06,781.8007855,
ENSG00000159261,1.562606697,0.299765472,11.96894366,
ENSG00000257023,1.561919411,0.418965849,0.65653172,
ENSG00000049860,1.561189863,4.99E-08,2170.962298,
ENSG00000253302,1.561133691,0.402141319,1.198457413,
ENSG00000131446,1.56100216,0.000102303,5791.219857,
ENSG00000101407,1.560710707,3.21E-08,927.3640901,
ENSG00000205879,1.560503993,0.36978124,0.817554038,
ENSG00000184840,1.560334449,0.0002732,6233.929806,
ENSG00000213673,1.56029481,NA,0.18740837,
ENSG00000238005,1.56029481,NA,0.18740837,
ENSG00000242185,1.56029481,NA,0.18740837,
ENSG00000129559,1.560008711,0.000433607,678.9015519,
ENSG00000184343,1.559728525,0.056867776,19.53038607,
ENSG00000252448,1.559603427,0.420554337,0.497280646,
ENSG00000125249,1.559414853,5.01E-06,1345.218747,
ENSG00000259438,1.559024948,0.413044039,0.601941844,
ENSG00000103152,1.558823424,2.79E-06,572.9645377,
ENSG00000129749,1.558747912,0.071718895,16.4916649,
ENSG00000178057,1.558741521,2.50E-07,848.4707658,
ENSG00000223945,1.558357157,0.379356706,0.924344703,
ENSG00000176101,1.55751127,9.60E-05,1028.77167,
ENSG00000205537,1.557065385,0.194623153,5.197503898,
ENSG00000266184,1.556606241,NA,0.318866925,
ENSG00000112981,1.556311683,NA,0.186040487,
ENSG00000225924,1.556311683,NA,0.186040487,
ENSG00000254423,1.556311683,NA,0.186040487,
ENSG00000255132,1.556311683,NA,0.186040487,
ENSG00000255991,1.556311683,NA,0.186040487,
ENSG00000261033,1.556311683,NA,0.186040487,
ENSG00000271072,1.556311683,NA,0.186040487,
ENSG00000226684,1.55613073,NA,0.332951583,
ENSG00000238002,1.556085221,0.416872506,0.511118574,
ENSG00000244675,1.555398184,0.311819322,1.803345119,
ENSG00000264043,1.555335176,0.197834392,6.07974641,
ENSG00000211856,1.55382697,0.416340361,0.478046524,
ENSG00000213881,1.553486155,7.36E-05,415.8267025,
ENSG00000138172,1.553468217,0.001902395,284.9778171,
ENSG00000213077,1.552631207,0.312270759,24.64095461,
ENSG00000270624,1.552540689,0.421928799,0.678579754,
ENSG00000233621,1.55232337,0.068437272,7.038410889,
ENSG00000232063,1.552296704,0.009491062,20.29077042,
ENSG00000120658,1.552098225,NA,0.184561888,
ENSG00000207359,1.552098225,NA,0.184561888,
ENSG00000212643,1.552098225,NA,0.184561888,
ENSG00000215267,1.552098225,NA,0.184561888,
ENSG00000225511,1.552098225,NA,0.184561888,
ENSG00000229521,1.552098225,NA,0.184561888,
ENSG00000229590,1.552098225,NA,0.184561888,
ENSG00000248968,1.552098225,NA,0.184561888,
ENSG00000255186,1.552098225,NA,0.184561888,
ENSG00000265055,1.552098225,NA,0.184561888,
ENSG00000269303,1.552098225,NA,0.184561888,
ENSG00000259401,1.552067551,0.15891873,6.034647878,
ENSG00000179051,1.551834624,5.08E-05,3852.263976,
ENSG00000255651,1.551745615,0.346726092,1.097357762,
ENSG00000167792,1.551620498,4.92E-11,2848.291218,
ENSG00000105750,1.551347343,5.37E-05,236.8921761,
ENSG00000100994,1.551273067,6.45E-10,2601.518086,
ENSG00000131844,1.551107673,2.75E-09,1723.943746,
ENSG00000236558,1.55072043,0.420717721,0.558760319,
ENSG00000196553,1.550434415,0.420138148,0.689017363,
ENSG00000119729,1.550142508,2.30E-06,3052.462456,
ENSG00000185442,1.550000709,0.015357484,25.91745627,
ENSG00000140307,1.549811284,0.000814909,1730.59495,
ENSG00000271147,1.549596597,0.015429307,42.92176874,
ENSG00000165698,1.549415522,0.015169446,18.98418303,
ENSG00000132965,1.549236538,0.001059531,230.5025451,
ENSG00000134056,1.549222507,9.34E-05,761.8582876,
ENSG00000145439,1.549146134,1.48E-05,524.8396274,
ENSG00000066827,1.54897242,0.000307049,576.426754,
ENSG00000117859,1.548874646,2.94E-12,3142.017399,
ENSG00000120334,1.548590192,2.53E-05,490.7955883,
ENSG00000154134,1.548126294,0.151160458,11.44517202,
ENSG00000230929,1.547884142,0.383114676,1.417892414,
ENSG00000163412,1.547822294,0.024502271,491.3515776,
ENSG00000110717,1.547677508,8.43E-11,1257.943485,
ENSG00000100124,1.547418248,0.000186199,391.0466351,
ENSG00000173621,1.546982712,0.00740593,33.28339669,
ENSG00000171503,1.546821175,1.84E-05,590.053839,
ENSG00000211917,1.546572775,0.024576148,54.38174066,
ENSG00000124116,1.54592527,0.357765037,1.387570469,
ENSG00000123352,1.545609392,8.33E-09,2790.75307,
ENSG00000157388,1.545470412,0.170163652,4.136522681,
ENSG00000251000,1.54539535,0.053141685,12.22028751,
ENSG00000163872,1.545163473,5.92E-10,1147.334147,
ENSG00000196263,1.545032693,0.164622287,5.312244915,
ENSG00000134324,1.544722936,0.001277923,3506.344682,
ENSG00000158865,1.544715795,0.296748671,4.727654787,
ENSG00000126267,1.544414822,5.72E-05,3933.167489,
ENSG00000157985,1.544245583,0.161925524,5.731618488,
ENSG00000260804,1.544160309,7.58E-06,149.0410666,
ENSG00000104381,1.544059996,6.28E-05,138.1728209,
ENSG00000090534,1.543821492,NA,0.181715406,
ENSG00000144644,1.543821492,NA,0.181715406,
ENSG00000204637,1.543821492,NA,0.181715406,
ENSG00000211837,1.543821492,NA,0.181715406,
ENSG00000221096,1.543821492,NA,0.181715406,
ENSG00000221325,1.543821492,NA,0.181715406,
ENSG00000224928,1.543821492,NA,0.181715406,
ENSG00000226782,1.543821492,NA,0.181715406,
ENSG00000231764,1.543821492,NA,0.181715406,
ENSG00000232748,1.543821492,NA,0.181715406,
ENSG00000234283,1.543821492,NA,0.181715406,
ENSG00000236592,1.543821492,NA,0.181715406,
ENSG00000242439,1.543821492,NA,0.181715406,
ENSG00000249094,1.543821492,NA,0.181715406,
ENSG00000259713,1.543821492,NA,0.181715406,
ENSG00000260253,1.543821492,NA,0.181715406,
ENSG00000260469,1.543821492,NA,0.181715406,
ENSG00000263830,1.543821492,NA,0.181715406,
ENSG00000164970,1.543743958,5.33E-12,417.1274733,
ENSG00000196793,1.543254833,0.03868156,8.436950024,
ENSG00000188403,1.542940142,0.232227758,18.23626907,
ENSG00000259137,1.542675712,0.038638399,8.665517099,
ENSG00000158497,1.540854919,0.353246119,2.476708569,
ENSG00000147419,1.540656724,3.15E-06,931.8228851,
ENSG00000174177,1.540491665,4.34E-05,395.2846907,
ENSG00000213967,1.540072957,0.001448976,59.62491297,
ENSG00000117697,1.539119129,0.000137302,928.2870584,
ENSG00000007376,1.539096639,8.18E-07,540.48976,
ENSG00000124356,1.538683503,3.24E-08,895.3016441,
ENSG00000231995,1.53843932,0.132426317,7.062073405,
ENSG00000255559,1.538219717,0.267192346,2.993833467,
ENSG00000231312,1.538074105,0.012013312,107.9346345,
ENSG00000267067,1.537973667,0.28417448,3.32433709,
ENSG00000229785,1.537665879,0.401689777,0.778548777,
ENSG00000269923,1.537268347,0.42756098,0.692136741,
ENSG00000170647,1.53726648,0.005232225,82.91821246,
ENSG00000237911,1.537249852,0.235548956,4.013449556,
ENSG00000149926,1.537111162,0.166699421,6.819596565,
ENSG00000137992,1.536799958,3.50E-07,593.9000175,
ENSG00000084073,1.536648799,6.39E-05,2093.914078,
ENSG00000116171,1.536046576,1.22E-10,1716.449745,
ENSG00000114450,1.535468422,0.005997253,547.9708017,
ENSG00000271751,1.535290119,0.207357726,4.945115214,
ENSG00000087494,1.53482589,0.427331396,0.812443006,
ENSG00000229589,1.534417903,0.431072977,0.780733775,
ENSG00000254999,1.534395669,1.05E-05,2409.748614,
ENSG00000253721,1.533813051,0.423596061,0.512914777,
ENSG00000236675,1.53364921,5.37E-07,376.7282026,
ENSG00000259022,1.533623715,0.429075993,0.647057175,
ENSG00000224208,1.533479283,0.356624617,1.473783704,
ENSG00000001630,1.533059543,9.94E-05,177.2813892,
ENSG00000180011,1.533043839,4.67E-06,529.4276023,
ENSG00000197858,1.533040541,1.15E-05,2135.103269,
ENSG00000237161,1.532962263,0.111516377,11.41593204,
ENSG00000143771,1.532957425,0.003324862,605.2837399,
ENSG00000014216,1.532898136,3.20E-05,2803.786118,
ENSG00000132718,1.532835804,0.018139174,370.1411567,
ENSG00000222038,1.532425374,0.392800431,1.146520485,
ENSG00000224607,1.532414007,0.03064396,12463.1274,
ENSG00000235314,1.531656887,0.000367139,61.00285762,
ENSG00000163565,1.5315664,9.64E-06,8339.459891,
ENSG00000182508,1.531559753,0.392557547,2.221761167,
ENSG00000163584,1.531320058,0.045907804,3895.372704,
ENSG00000228986,1.531085521,0.258704967,2.416323158,
ENSG00000255566,1.531001561,0.112257203,8.077147315,
ENSG00000232499,1.530420961,0.000333459,41.02745269,
ENSG00000243083,1.530371948,0.427977436,1.712883078,
ENSG00000144029,1.529731744,8.82E-10,1167.74708,
ENSG00000002016,1.529274593,0.000971718,156.3573448,
ENSG00000160049,1.528566193,1.61E-06,826.7091654,
ENSG00000238084,1.528434971,2.50E-06,103.6498929,
ENSG00000180964,1.527329886,0.00384057,1034.51247,
ENSG00000107874,1.526952556,1.48E-06,761.1401603,
ENSG00000000457,1.526383849,3.92E-07,681.0463277,
ENSG00000161082,1.526382999,0.421936957,0.677435304,
ENSG00000168710,1.526076315,1.87E-05,1642.97037,
ENSG00000226976,1.526012279,0.000209905,1238.017154,
ENSG00000167536,1.525510945,0.000864208,84.80544691,
ENSG00000267150,1.52543824,0.318833017,1.989995561,
ENSG00000156097,1.525161979,0.372076004,2.070524281,
ENSG00000230359,1.525088237,0.089058668,7.740878754,
ENSG00000177096,1.525001199,0.001946254,44.72289267,
ENSG00000125630,1.52473622,5.36E-05,943.1370527,
ENSG00000188032,1.524651005,0.432898288,0.599926301,
ENSG00000213061,1.524651005,0.432898288,0.599926301,
ENSG00000064666,1.524612244,0.000335583,4097.566321,
ENSG00000161031,1.524264131,0.353339829,3.751023451,
ENSG00000118855,1.524028223,3.62E-06,1105.910162,
ENSG00000145817,1.523877319,3.37E-05,2337.533098,
ENSG00000228901,1.523824742,NA,0.369917867,
ENSG00000273026,1.523320248,0.181059028,3.868356061,
ENSG00000233912,1.523142165,0.00423769,108.7288174,
ENSG00000187630,1.522920353,9.85E-06,401.3149008,
ENSG00000245164,1.522754261,0.080455317,103.2741223,
ENSG00000211924,1.522365832,0.018934604,63.0165125,
ENSG00000169621,1.522335522,0.000830747,78.85796947,
ENSG00000213985,1.522193389,0.002002044,78.29639216,
ENSG00000105677,1.521928475,8.11E-08,1123.590678,
ENSG00000160999,1.521845279,0.000849189,365.4695812,
ENSG00000171135,1.521694401,2.79E-08,693.3277004,
ENSG00000143624,1.521448624,0.000579245,1385.493381,
ENSG00000236683,1.520829379,0.404647972,0.769424465,
ENSG00000100997,1.520700388,4.83E-07,834.663897,
ENSG00000205639,1.520403564,0.002653642,32.77129916,
ENSG00000184659,1.520261529,0.210129282,9.470175159,
ENSG00000167969,1.520254423,1.03E-10,765.6528067,
