,log2FoldChange,padj,baseMean,name
ENSG00000261787,7.133203164,2.54E-07,9.65944572,
ENSG00000134901,7.129830076,1.01E-16,53.26280907,
ENSG00000215784,7.129747226,9.57E-61,660.6843713,
ENSG00000205358,7.105471101,1.14E-08,15.018349,
ENSG00000177181,7.076033139,1.69E-18,50.33323866,
ENSG00000174371,7.069389911,3.88E-58,475.507944,
ENSG00000238062,7.064842756,1.67E-09,20.86630983,
ENSG00000130707,7.058100427,5.51E-20,227.2888045,
ENSG00000072571,7.05658972,8.54E-78,1312.848331,
ENSG00000105011,7.04707978,1.96E-55,985.4052047,
ENSG00000051341,7.032718422,2.52E-60,997.0284747,
ENSG00000132821,6.9963613,3.73E-12,28.89878816,
ENSG00000088325,6.987401599,1.62E-60,2251.080073,
ENSG00000203817,6.979457986,9.12E-44,295.4763321,
ENSG00000217825,6.97026118,2.61E-07,10.75278645,
ENSG00000267074,6.969282413,1.26E-17,166.4824864,
ENSG00000143476,6.950335193,5.62E-48,1197.062728,
ENSG00000109814,6.945542911,2.04E-63,1181.831719,
ENSG00000146733,6.934081313,1.13E-73,655.8596409,
ENSG00000163009,6.930247711,2.73E-10,44.96637424,
ENSG00000072682,6.925489551,2.59E-17,60.48310578,
ENSG00000111665,6.919007501,6.92E-37,723.4120064,
ENSG00000109805,6.894517243,2.71E-64,1488.958375,
ENSG00000145386,6.885535515,2.70E-51,2016.145073,
ENSG00000233381,6.884589819,1.09E-21,64.85188195,
ENSG00000092621,6.883779401,2.09E-29,2840.342074,
ENSG00000178445,6.87723442,3.41E-32,830.5352851,
ENSG00000127423,6.867101064,1.21E-25,95.21473125,
ENSG00000180549,6.848892151,9.28E-28,524.7755224,
ENSG00000100116,6.836976386,2.04E-18,65.9644056,
ENSG00000079112,6.820667343,4.54E-07,19.07620602,
ENSG00000066279,6.816927342,3.68E-52,1867.772425,
ENSG00000136982,6.813877824,2.60E-51,240.9924679,
ENSG00000050405,6.802675465,7.06E-43,536.5085943,
ENSG00000198876,6.800873399,1.80E-49,1812.827356,
ENSG00000229056,6.784734824,5.90E-08,13.34213219,
ENSG00000102471,6.782165872,1.03E-25,422.9031971,
ENSG00000250562,6.776226454,1.49E-11,26.81594188,
ENSG00000116133,6.770794068,1.89E-35,2410.539438,
ENSG00000102384,6.761976823,1.19E-48,276.6674152,
ENSG00000165474,6.757619567,1.34E-10,63.26067922,
ENSG00000114268,6.747134612,8.58E-46,391.6670359,
ENSG00000117650,6.723217002,3.74E-36,582.6476299,
ENSG00000164045,6.71467443,1.51E-35,596.2335807,
ENSG00000104490,6.705787162,1.02E-31,310.9937454,
ENSG00000255987,6.705220818,5.90E-21,131.796798,
ENSG00000112379,6.691509464,2.98E-12,37.65290601,
ENSG00000012048,6.679541248,4.76E-76,952.7756148,
ENSG00000257642,6.676118073,9.96E-07,9.137856954,
ENSG00000100526,6.662216108,2.39E-32,949.1137948,
ENSG00000250413,6.661638377,6.07E-06,6.005430434,
ENSG00000175643,6.652871176,5.25E-20,177.9668222,
ENSG00000143067,6.650751698,2.11E-22,279.7076282,
ENSG00000187456,6.644893207,8.49E-07,7.875823376,
ENSG00000221886,6.625524048,6.16E-10,56.83617527,
ENSG00000127533,6.623733617,1.30E-22,209.1835403,
ENSG00000241163,6.622234729,8.34E-32,200.7436966,
ENSG00000116096,6.616972572,7.00E-10,36.88024529,
ENSG00000111052,6.59891859,6.64E-07,17.14661431,
ENSG00000069869,6.590659742,9.71E-17,84.20626368,
ENSG00000165891,6.586336564,5.38E-46,398.0623629,
ENSG00000120833,6.58579522,7.44E-39,275.0386398,
ENSG00000163535,6.578984945,1.23E-67,618.8324404,
ENSG00000156970,6.576970398,5.93E-67,1279.634844,
ENSG00000265415,6.52782096,3.56E-15,65.46255433,
ENSG00000100628,6.517524354,1.80E-44,281.3258158,
ENSG00000160200,6.50143755,2.68E-19,215.7471398,
ENSG00000185222,6.493074784,8.57E-13,87.35057124,
ENSG00000157456,6.476921527,1.39E-36,1280.741749,
ENSG00000100336,6.461712707,8.33E-07,74.27068478,
ENSG00000092853,6.453537133,4.18E-60,573.3813531,
ENSG00000196550,6.451528017,1.64E-60,691.4759601,
ENSG00000068489,6.44328241,2.66E-35,745.6151426,
ENSG00000021645,6.44121134,2.09E-05,5.874212979,
ENSG00000132541,6.427382683,9.65E-32,379.7467288,
ENSG00000167634,6.423687576,2.05E-08,343.5968529,
ENSG00000104951,6.421917819,7.66E-13,78.45411516,
ENSG00000135454,6.412866816,2.01E-07,10.56475841,
ENSG00000138160,6.404616171,1.54E-46,2321.696103,
ENSG00000169860,6.399733122,7.60E-06,6.603308685,
ENSG00000102962,6.397055638,5.44E-07,90.23297214,
ENSG00000154556,6.373503791,1.99E-15,53.97409627,
ENSG00000008517,6.361751521,3.58E-20,564.535032,
ENSG00000253214,6.361191699,4.51E-09,52.6223751,
ENSG00000112742,6.359013761,3.55E-49,638.4809551,
ENSG00000181449,6.349069034,2.20E-07,21.33767779,
ENSG00000182368,6.342642326,5.50E-18,150.0998382,
ENSG00000240350,6.334909891,3.29E-12,31.51593905,
ENSG00000188610,6.33299584,2.79E-53,636.2765744,
ENSG00000006075,6.330165837,2.99E-36,337.2723005,
ENSG00000171241,6.330160229,1.14E-46,2459.43294,
ENSG00000167513,6.330049077,7.90E-39,732.5721988,
ENSG00000113749,6.323550857,2.72E-06,7.285825328,
ENSG00000102385,6.301684561,8.96E-08,22.4130224,
ENSG00000130164,6.290382359,3.58E-52,1802.739686,
ENSG00000112218,6.289028688,5.55E-14,48.54537358,
ENSG00000113790,6.257216254,1.02E-18,94.87202044,
ENSG00000231007,6.248478553,NA,38.32917665,
