ID,log2FC,FDR
ENSG00000179965.11,0.655045679,5.47E-15
ENSG00000198146.4,-0.51689339,2.53E-05
ENSG00000169957.9,0.775802208,8.45E-27
ENSG00000196214.10,0.214964562,6.73E-05
ENSG00000196417.12,0.230435189,0.001679324
ENSG00000169951.9,0.682161296,1.28E-28
ENSG00000197054.11,-0.578643398,7.74E-11
ENSG00000160336.14,0.345607155,9.89E-07
ENSG00000065029.14,0.176678204,0.00424355
ENSG00000186376.14,-0.265890394,1.47E-05
ENSG00000162086.14,0.467894496,1.05E-09
ENSG00000141579.6,-0.332252327,0.065421467
ENSG00000186230.6,0.293419288,0.000526397
ENSG00000169955.7,0.350086191,9.26E-08
ENSG00000181220.15,0.318900229,5.59E-12
ENSG00000139651.10,-0.099194774,0.215755552
ENSG00000185252.17,0.550323783,9.62E-18
ENSG00000172687.13,0.385589814,0.000437775
ENSG00000234444.9,0.206225072,0.027529114
ENSG00000183850.13,0.888263954,5.15E-05
ENSG00000196350.8,-0.820314644,0.005702879
ENSG00000269067.1,-2.936312084,1.08E-59
ENSG00000214652.5,-2.479035627,1.34E-41
ENSG00000213967.10,0.89289202,4.76E-10
ENSG00000196081.9,0.675358414,1.14E-06
ENSG00000182903.15,-0.182683383,0.01043367
ENSG00000197302.10,0.125774756,0.120742168
ENSG00000227124.8,-0.474058266,8.02E-07
ENSG00000182111.8,0.354424566,0.043921485
ENSG00000160352.15,0.355505842,0.004257519
ENSG00000178665.14,0.221104811,0.025503954
ENSG00000147180.16,-1.05793296,9.80E-11
ENSG00000140548.9,0.698693605,1.75E-26
ENSG00000242852.6,-0.125611849,0.210021196
ENSG00000182141.9,-0.267135572,0.000550373
ENSG00000181135.15,1.050309202,6.14E-31
ENSG00000120963.11,0.356494501,4.16E-07
ENSG00000215372.6,-0.327411709,0.000642776
ENSG00000215356.4,-0.079548971,0.131625439
ENSG00000196946.9,-0.208732206,0.295362316
ENSG00000164684.13,-0.813521072,4.12E-15
ENSG00000183779.6,1.115150977,6.47E-09
ENSG00000167562.11,0.223363057,0.00345658
ENSG00000196757.7,0.20967241,0.003325438
ENSG00000187792.4,-0.362789724,5.66E-09
ENSG00000147789.15,0.384831109,1.06E-09
ENSG00000196110.7,-1.023098055,3.86E-18
ENSG00000185730.7,0.587231181,3.80E-12
ENSG00000197472.14,2.646194289,1.86E-36
ENSG00000171163.15,0.799349183,1.55E-16
ENSG00000164011.17,0.290984033,1.89E-08
ENSG00000229809.8,0.612296442,9.78E-11
ENSG00000143373.17,0.883854429,1.41E-38
ENSG00000117010.15,-0.269028292,5.35E-07
ENSG00000197124.11,0.526132163,2.51E-08
ENSG00000196172.9,0.913384811,1.02E-16
ENSG00000181450.17,0.456859123,8.79E-09
ENSG00000197928.10,-1.894570535,1.08E-59
ENSG00000196109.6,-2.638473497,2.78E-41
ENSG00000197372.9,0.730506539,2.09E-16
ENSG00000171161.12,0.840405463,8.18E-44
ENSG00000083814.12,-0.571429991,2.40E-06
ENSG00000135747.11,1.370318543,3.35E-24
ENSG00000188295.14,0.209352214,0.008644557
ENSG00000167394.12,1.214133294,3.22E-58
ENSG00000198046.11,-1.505770852,5.77E-26
ENSG00000197497.10,-0.445217082,3.08E-06
ENSG00000179195.15,0.145557463,0.049528032
ENSG00000182983.14,-1.672974124,3.27E-37
ENSG00000144792.9,-1.294719783,1.31E-44
ENSG00000160229.11,0.242993125,0.080415264
ENSG00000274349.4,-1.068765106,1.26E-35
ENSG00000197343.10,-0.533866828,1.39E-10
ENSG00000175105.5,-0.287535584,1.02E-05
ENSG00000161914.9,0.601532859,1.12E-15
ENSG00000198740.8,0.282064063,0.002218091
ENSG00000198093.10,-0.327581647,0.002243869
ENSG00000179930.5,-0.345054341,0.214038468
ENSG00000167395.10,0.489462031,2.68E-15
ENSG00000175809.4,-0.126329989,0.143743008
ENSG00000122482.20,-0.22327089,0.001772069
ENSG00000167528.12,-0.334772237,7.75E-11
ENSG00000221994.10,0.196142069,0.100795137
ENSG00000102870.5,0.422985902,1.14E-10
ENSG00000197483.9,0.557809449,3.46E-10
ENSG00000198551.9,0.28014355,2.70E-05
