ID,log2FC,FDR
ENSG00000146223.14,0.118312297,0.05501264
ENSG00000148303.16,-0.163960781,0.012140221
ENSG00000147604.13,-0.253290299,0.000450296
ENSG00000089009.15,-0.323207959,2.41E-09
ENSG00000122406.12,-0.667951859,4.84E-30
ENSG00000279483.1,-0.123419155,0.109818466
ENSG00000229117.8,-0.129685109,0.048510965
ENSG00000174444.14,-0.498283735,1.19E-19
ENSG00000163923.9,1.077657166,3.27E-15
ENSG00000198918.7,-0.125454887,0.090792147
ENSG00000197756.9,-0.268727341,3.97E-05
ENSG00000145592.13,-0.224844247,0.001675507
ENSG00000165502.6,-0.176746268,0.004741811
ENSG00000130255.12,0.132829887,0.216367868
ENSG00000182899.14,-0.259044624,2.21E-05
ENSG00000109475.16,-0.693969221,4.01E-29
ENSG00000144713.12,-0.358885921,1.21E-08
ENSG00000071082.10,-0.360710463,4.08E-09
ENSG00000156482.10,0.144878977,0.07184539
ENSG00000100316.15,-0.397655202,5.49E-09
ENSG00000162244.10,-0.249385618,0.00024212
ENSG00000108107.12,0.519577596,5.70E-09
ENSG00000166441.12,-0.143794777,0.058605425
ENSG00000131469.12,-0.235259936,0.000132564
ENSG00000037241.7,0.927020755,2.07E-53
ENSG00000161970.12,-0.670510896,5.51E-30
ENSG00000114391.12,-0.122785166,0.075164421
ENSG00000125691.12,-0.327834636,1.11E-05
ENSG00000163584.17,0.382832145,4.62E-05
ENSG00000116251.9,-0.478241743,3.92E-22
ENSG00000122026.10,-0.659348154,4.13E-28
ENSG00000108298.9,0.132274921,0.24814959
ENSG00000265681.6,-0.358679208,4.46E-08
ENSG00000174748.18,-0.413840885,2.62E-18
ENSG00000188846.13,-0.232685192,0.000195506
ENSG00000142541.16,-0.16650719,0.036345679
ENSG00000167526.13,-0.377389201,3.54E-06
ENSG00000197958.12,-0.206784032,0.003918314
ENSG00000142676.12,-0.588064808,6.80E-23
ENSG00000165496.4,0.182218802,0.051416715
ENSG00000198755.10,-0.386613473,4.56E-12
ENSG00000147403.16,-0.242713172,2.09E-05
ENSG00000153574.8,0.167461297,0.002724152
ENSG00000181031.15,-0.644992259,1.19E-07
ENSG00000089169.14,-0.758297495,2.48E-05
ENSG00000103494.12,0.417003742,3.42E-09
ENSG00000156313.12,-0.62880582,2.11E-21
ENSG00000117133.10,0.243548329,6.37E-07
ENSG00000116745.6,-2.908408609,2.23E-58
ENSG00000197713.14,0.252958268,2.26E-07
ENSG00000005175.9,0.304850081,1.82E-09
ENSG00000122484.8,0.149791302,0.031361897
ENSG00000129197.14,-0.13863998,0.028453537
ENSG00000106399.11,0.704902215,9.35E-30
ENSG00000132383.11,-0.133057334,0.01639486
ENSG00000164610.8,0.189401778,0.004260244
ENSG00000260548.1,-0.480890328,0.064620371
ENSG00000243696.4,-0.459651106,0.00010544
ENSG00000250424.4,-1.976041349,2.12E-23
ENSG00000274944.4,1.67232973,1.62E-10
ENSG00000282419.1,0.120551428,0.101502641
ENSG00000279624.3,-0.444758732,0.040083314
ENSG00000264058.1,-1.671148442,9.97E-10
ENSG00000281039.1,-1.541665602,8.18E-15
ENSG00000273154.3,0.924495011,3.31E-11
ENSG00000260861.6,0.210583124,0.082482411
ENSG00000249590.7,0.392862088,0.018512996
ENSG00000279968.1,-0.271434876,0.017480268
ENSG00000280148.1,-0.731677178,0.000267551
ENSG00000268439.5,0.482070429,2.22E-11
ENSG00000183638.5,-1.875741915,4.26E-40
ENSG00000266202.1,-0.974289728,3.36E-08
ENSG00000262302.1,0.150066875,0.259997158
ENSG00000100101.15,-0.507560421,5.03E-07
ENSG00000264668.1,-1.321795593,8.93E-10
ENSG00000255767.1,0.560019959,6.32E-07
ENSG00000255275.3,-0.333462333,0.003451774
ENSG00000254553.1,0.391991448,0.08616331
ENSG00000144785.8,2.416294319,1.53E-13
ENSG00000259171.1,-1.665356864,1.48E-38
ENSG00000272305.5,-0.575621039,0.000281822
ENSG00000256950.2,0.552835814,2.73E-05
ENSG00000254979.5,-1.200873441,9.00E-16
ENSG00000255508.7,-0.081858607,0.260685155
ENSG00000254469.7,-0.146692994,0.073263409
ENSG00000263809.1,-0.665736471,2.13E-05
ENSG00000273049.1,0.937577939,1.86E-21
ENSG00000267281.2,-1.083099044,1.67E-29
ENSG00000248713.1,0.332608671,0.241148586
ENSG00000257390.5,2.482328835,2.36E-22
ENSG00000256500.5,-0.666934467,0.000146942
ENSG00000267699.2,-1.292173,5.09E-16
ENSG00000251569.1,-0.838394323,1.61E-05
ENSG00000187695.6,0.528379432,0.016173934
ENSG00000269226.7,-0.628089341,1.41E-05
ENSG00000254732.1,-0.390253479,0.002369252
ENSG00000281883.1,-0.774643753,3.61E-07
ENSG00000255872.3,-1.147059346,4.27E-12
ENSG00000257411.1,-1.483995469,1.50E-05
ENSG00000263620.1,0.670282659,2.83E-06
ENSG00000254673.1,-0.512551033,0.142942661
ENSG00000272916.5,-0.335302866,0.000340504
ENSG00000258465.6,-0.808416415,0.006113863
ENSG00000257921.5,0.544045764,1.42E-05
ENSG00000275465.4,-2.081001669,2.93E-21
ENSG00000254706.2,-0.786536191,2.57E-05
ENSG00000267426.5,0.616629012,0.005691662
ENSG00000275765.4,-0.497581905,1.22E-07
ENSG00000249967.1,-0.581541341,0.014007101
ENSG00000275038.1,0.346177897,0.000125434
ENSG00000257046.5,-1.606736947,6.57E-07
ENSG00000261915.6,1.140588882,0.000739386
ENSG00000251246.1,0.454843149,0.005816175
ENSG00000249141.1,1.474904872,1.78E-23
ENSG00000276087.1,-0.984020472,3.11E-09
ENSG00000260300.5,-0.842306383,5.31E-28
ENSG00000272921.1,-0.588577472,0.115070097
ENSG00000278674.1,0.360862505,0.000565495
ENSG00000258989.1,-0.242265851,0.070646243
ENSG00000259529.1,0.434856307,3.54E-05
ENSG00000259164.1,0.310549557,0.000414382
ENSG00000256407.1,-1.044733906,3.21E-12
ENSG00000272410.5,-0.436462341,0.214159326
ENSG00000271810.5,1.186621267,4.14E-08
ENSG00000255339.6,-0.673516228,6.17E-06
ENSG00000259916.1,-3.270471986,4.72E-59
ENSG00000258941.3,-2.076155561,1.44E-13
ENSG00000260851.6,-0.391335872,0.041228203
ENSG00000276490.1,-0.729866901,0.000243168
ENSG00000273170.5,-0.729926774,0.002256304
ENSG00000273155.1,-0.502133307,0.000100688
ENSG00000277611.1,-0.223987147,0.005946672
ENSG00000259066.5,0.361944091,0.039087571
ENSG00000148123.14,-3.669582579,1.05E-64
ENSG00000261793.1,1.135594959,0.000118456
ENSG00000258130.7,-0.677177651,4.65E-06
ENSG00000261740.5,0.919095941,2.82E-36
ENSG00000260371.1,-1.198724022,1.08E-05
ENSG00000259900.5,-0.242088481,0.000737899
ENSG00000272617.1,0.283919009,2.19E-05
ENSG00000260914.3,-0.246086599,0.071221641
ENSG00000267140.1,0.218921242,0.281669822
ENSG00000271793.1,0.915776096,9.54E-12
ENSG00000274322.1,-0.887056884,2.68E-10
ENSG00000279956.1,-0.54202415,8.51E-10
ENSG00000248751.6,-0.574674394,1.41E-05
ENSG00000273167.1,0.486223243,0.043323983
ENSG00000272822.1,0.237818897,0.156160896
ENSG00000282034.1,0.437059643,4.53E-18
ENSG00000259132.1,-0.261742713,0.147228742
ENSG00000262560.1,1.560002955,4.25E-15
ENSG00000250644.2,1.113528176,6.19E-11
ENSG00000258064.1,0.452518043,0.242308992
ENSG00000259753.1,-0.499945096,0.083944684
ENSG00000264324.1,-0.94915586,8.79E-09
ENSG00000256591.5,0.165450576,0.006918641
ENSG00000276418.4,1.147733115,3.42E-13
ENSG00000270099.1,-0.307594389,0.116266823
ENSG00000271741.1,-0.496165726,0.005111975
ENSG00000258417.3,0.205436166,0.033652036
ENSG00000278848.2,-1.615229967,3.36E-11
ENSG00000255639.2,0.296387441,0.047189632
ENSG00000282278.1,0.237560088,0.134332135
ENSG00000279073.3,0.437252581,0.000181141
ENSG00000266302.5,-0.745189866,0.002589899
ENSG00000272896.1,-0.884817155,1.23E-08
ENSG00000204003.8,-2.144944248,1.96E-21
ENSG00000272297.2,-0.326400291,1.02E-08
ENSG00000274874.1,0.556093814,2.46E-05
ENSG00000259784.1,0.356816364,0.005332232
ENSG00000273088.1,0.666342365,6.66E-09
ENSG00000255439.6,0.180975737,0.261174379
ENSG00000258728.1,-0.718828171,7.04E-05
ENSG00000258472.8,0.608472238,2.97E-08
ENSG00000256029.5,0.211483015,0.297761435
ENSG00000131152.4,0.361278792,0.115642867
ENSG00000203546.7,-1.035341021,3.85E-36
ENSG00000260234.5,0.668593226,5.64E-13
ENSG00000234719.8,-0.215474369,0.204602202
ENSG00000257767.2,-1.953642643,1.87E-09
ENSG00000266086.1,-0.262014702,0.123051826
ENSG00000262633.1,-0.267505348,0.313574937
ENSG00000260836.1,0.190348562,0.123158557
ENSG00000274527.4,-0.313301478,0.004572475
ENSG00000264545.1,0.449030577,6.31E-06
ENSG00000273291.5,-0.654021864,0.000145677
ENSG00000258539.1,-0.434886643,0.000633598
ENSG00000257062.6,-0.38259012,7.07E-06
ENSG00000258830.1,0.496130271,0.106301709
ENSG00000233024.7,-0.397167496,2.87E-07
ENSG00000277877.4,0.494950699,0.004383843
ENSG00000179240.8,-0.308076879,0.004768877
ENSG00000262730.1,-0.170904836,0.01580162
ENSG00000258529.5,-0.521838667,0.043212914
ENSG00000254536.1,1.510602697,2.68E-11
ENSG00000273025.1,-0.14532382,0.031987212
ENSG00000260729.1,-0.663385061,5.96E-05
ENSG00000260342.2,1.145171166,3.63E-13
ENSG00000261130.5,0.26074698,0.00563258
ENSG00000258466.5,0.258627514,0.079440443
ENSG00000104237.6,0.413461068,0.190059722
ENSG00000047936.10,1.135260071,1.57E-06
ENSG00000143365.16,0.387379349,0.043921485
ENSG00000198963.10,-1.484971433,2.70E-16
ENSG00000069667.15,-0.857706554,1.70E-26
ENSG00000169071.14,0.691216614,9.82E-07
ENSG00000185483.11,-1.493681546,3.88E-33
ENSG00000145491.11,0.63294129,0.001831338
ENSG00000114547.9,-3.134155786,1.01E-37
ENSG00000065371.17,-3.914758042,8.78E-40
ENSG00000125995.15,0.979767584,2.83E-23
ENSG00000149489.8,-0.304369837,0.000924833
ENSG00000067836.12,1.466238897,3.65E-44
ENSG00000134318.13,-1.041030186,5.14E-51
ENSG00000067900.6,-0.459068188,2.17E-10
ENSG00000154134.14,-2.135947071,4.38E-89
ENSG00000169855.19,-0.665791747,6.92E-10
ENSG00000205937.11,0.720026449,5.78E-40
ENSG00000142327.11,0.079433703,0.314824392
ENSG00000176393.10,0.942523473,6.93E-47
ENSG00000185946.15,-0.914024655,5.27E-39
ENSG00000101654.17,-0.148493435,0.027970532
ENSG00000184719.11,-0.926655256,4.07E-25
ENSG00000135119.14,1.823762579,3.99E-47
ENSG00000112130.16,0.260894233,1.53E-05
ENSG00000114125.13,0.386690328,7.16E-17
ENSG00000204308.7,0.419325208,1.32E-15
ENSG00000146083.11,0.370730821,2.90E-09
ENSG00000108375.12,0.767498239,4.52E-05
ENSG00000181852.17,-0.302344482,3.30E-13
ENSG00000103549.21,0.741565737,2.13E-37
ENSG00000063978.15,0.289150744,7.99E-10
ENSG00000204618.8,-1.457470253,3.82E-21
ENSG00000137075.17,-0.74057961,4.31E-35
ENSG00000170633.16,0.4445602,5.38E-21
ENSG00000105982.16,0.3144107,0.004002127
ENSG00000092098.16,0.304776285,3.08E-08
ENSG00000163481.7,0.290147046,1.91E-07
ENSG00000233198.3,1.723078047,2.93E-22
ENSG00000237330.2,1.962908592,3.57E-23
ENSG00000189051.5,-0.945796216,3.65E-06
ENSG00000187147.17,0.172236239,0.001076194
ENSG00000152193.7,-0.09555022,0.228760236
ENSG00000146373.16,-1.235780435,4.81E-35
ENSG00000011275.18,-0.076667002,0.141464541
ENSG00000099999.14,0.288822506,2.80E-05
ENSG00000167257.10,-0.42470647,1.12E-22
ENSG00000173821.19,0.57214522,1.07E-08
ENSG00000215277.8,0.231650998,0.26071569
ENSG00000178222.12,-1.475647188,5.28E-14
ENSG00000212864.3,1.014552624,7.51E-16
ENSG00000158286.12,-0.234530016,0.051546558
ENSG00000155827.11,-0.113974922,0.045886261
ENSG00000121481.10,0.393521013,3.97E-07
ENSG00000116514.16,0.359003214,7.38E-08
ENSG00000168159.10,0.948394046,2.80E-54
ENSG00000178828.6,-4.015829831,7.34E-73
ENSG00000138942.15,-0.328492962,9.51E-12
ENSG00000165188.13,-0.782177661,0.004213699
ENSG00000180537.12,-1.279703803,3.99E-12
ENSG00000168894.9,0.58512313,4.06E-23
ENSG00000164197.11,-1.76764322,1.72E-62
ENSG00000145428.14,-1.046996112,1.27E-16
ENSG00000120925.13,-0.145906511,0.084564416
ENSG00000166439.5,-0.155572365,0.172268208
ENSG00000163961.4,0.084776143,0.258097785
ENSG00000108523.15,0.223009215,2.99E-05
ENSG00000158717.10,0.135044825,0.150042767
ENSG00000141622.13,-1.514262963,6.26E-29
ENSG00000141576.14,-1.869220076,2.06E-46
ENSG00000179580.9,0.470940436,3.18E-07
ENSG00000163162.8,0.480561105,3.20E-29
ENSG00000118518.15,-0.402416988,7.75E-19
ENSG00000145860.11,-1.26493883,1.51E-44
ENSG00000137393.9,-0.343415499,0.000581075
ENSG00000151692.14,-0.590765848,1.07E-09
ENSG00000110315.6,-0.337851128,4.31E-06
ENSG00000170881.4,0.269361135,0.000304278
ENSG00000188050.2,-0.480915269,0.004518723
ENSG00000113269.13,-0.496344852,6.85E-26
ENSG00000082996.19,-0.356406126,3.26E-13
ENSG00000133135.13,-1.393655008,2.81E-17
ENSG00000070423.17,0.441293829,8.21E-10
ENSG00000101695.8,-1.469922068,4.92E-63
ENSG00000164068.15,0.182085897,0.001018268
ENSG00000133874.1,-0.340107585,2.52E-05
ENSG00000137522.17,0.17672125,0.001499089
ENSG00000265491.4,0.259387059,3.17E-07
ENSG00000124226.10,0.363554647,2.83E-10
ENSG00000139797.7,0.485192897,0.000281775
ENSG00000125352.5,0.468744568,1.25E-18
ENSG00000128482.15,-1.51860925,2.33E-32
ENSG00000157450.15,-0.297612226,4.46E-06
ENSG00000123091.4,-0.489523796,1.68E-20
ENSG00000249884.8,0.542051273,0.03295539
ENSG00000239305.6,0.231468842,0.000732984
ENSG00000022840.15,0.14816446,0.000211536
ENSG00000115963.13,-1.763263119,3.76E-65
ENSG00000108830.9,-0.456034043,0.020502738
ENSG00000172602.9,1.389910271,2.11E-13
ENSG00000026297.15,0.70611643,1.43E-16
ENSG00000135828.11,-0.216681002,0.00707916
ENSG00000172922.8,0.243529472,0.002819754
ENSG00000104889.4,1.700083429,2.40E-74
ENSG00000188655.10,0.126562885,0.057208869
ENSG00000173431.2,-0.267575588,0.000704586
ENSG00000165799.4,-3.608558132,4.41E-69
ENSG00000258818.3,-1.492158079,2.60E-46
ENSG00000169397.3,-0.398787514,0.013609142
ENSG00000169385.2,1.197994877,9.29E-18
ENSG00000206150.3,-1.466000111,3.30E-18
ENSG00000258436.1,-0.490041111,7.01E-06
ENSG00000259060.6,-0.319616643,8.59E-05
ENSG00000182545.6,0.521715522,7.15E-05
ENSG00000129538.13,-1.258363637,1.99E-34
ENSG00000145916.18,0.445733578,4.60E-11
ENSG00000153561.12,-0.223324952,0.000206066
ENSG00000155906.16,0.320841695,0.016013717
ENSG00000175643.8,2.551974633,1.22E-73
ENSG00000178966.15,1.069037064,4.30E-36
ENSG00000115841.19,-1.115571323,2.16E-55
ENSG00000176623.11,-0.232222885,0.000157759
ENSG00000159753.13,1.104338919,1.10E-08
ENSG00000107014.8,0.315798008,0.238385021
ENSG00000117000.8,-0.378626901,2.84E-09
ENSG00000140522.11,-0.83838098,0.001135416
ENSG00000139405.15,0.846304253,6.51E-51
ENSG00000143622.10,0.29836101,3.41E-07
ENSG00000183145.8,2.710164937,2.09E-31
ENSG00000203877.7,-0.97292718,0.000105692
ENSG00000147223.5,-0.882548705,5.22E-08
ENSG00000183421.11,-0.487184047,0.018235009
ENSG00000104312.7,0.758765976,5.28E-20
ENSG00000137275.13,-0.113774114,0.016339549
ENSG00000101782.14,-0.111172637,0.064700798
ENSG00000135249.7,0.266096724,6.29E-07
ENSG00000187994.13,0.27135286,0.004491455
ENSG00000204227.4,0.105763517,0.137495468
ENSG00000100599.15,-0.328300415,6.15E-05
ENSG00000101098.12,1.768680074,6.60E-06
ENSG00000117016.9,-1.817748001,6.44E-56
ENSG00000166532.15,-0.751208303,6.36E-27
ENSG00000177181.14,0.605910914,0.00222676
ENSG00000183246.6,1.105416382,5.83E-06
ENSG00000274600.1,1.376015417,2.27E-06
ENSG00000275793.1,0.739887682,3.10E-05
ENSG00000060709.13,-2.67254701,4.10E-52
ENSG00000150977.10,-0.546353809,3.27E-14
ENSG00000188026.11,-0.275978712,1.29E-06
ENSG00000167705.11,-1.180052553,3.23E-43
ENSG00000178796.12,2.258069744,6.46E-20
ENSG00000080345.17,-0.320556105,5.59E-06
ENSG00000164327.12,-0.440830457,4.32E-09
ENSG00000111785.18,-0.271763461,1.24E-05
ENSG00000177963.12,0.397393453,1.72E-14
ENSG00000107036.11,-0.427743385,4.29E-11
ENSG00000128408.8,1.936300423,2.34E-45
ENSG00000158423.16,0.785355627,1.23E-09
ENSG00000131941.7,0.569371602,3.68E-05
ENSG00000158106.12,2.295620692,1.93E-51
ENSG00000101883.4,-2.821156627,4.09E-67
ENSG00000104140.6,0.73867113,5.74E-05
ENSG00000116574.5,-1.903401583,8.56E-68
ENSG00000140983.13,0.878251448,4.54E-24
ENSG00000126858.16,-0.226019778,0.000442411
ENSG00000168421.12,0.757259803,4.63E-05
ENSG00000177105.9,0.254523121,1.59E-05
ENSG00000139725.7,1.307297063,4.32E-17
ENSG00000173156.6,1.010927092,1.28E-21
ENSG00000155366.16,0.557950604,1.83E-15
ENSG00000164292.12,-0.775556962,3.01E-09
ENSG00000008853.16,-0.26188238,0.001735045
ENSG00000143878.9,-0.291916047,0.01299482
ENSG00000163914.4,0.400264352,0.01162869
ENSG00000171792.10,0.927163253,2.63E-41
ENSG00000167550.10,1.004146525,3.74E-21
ENSG00000106615.9,0.309740503,3.12E-08
ENSG00000187010.18,-0.74564686,1.68E-06
ENSG00000140519.12,-1.747580299,6.09E-11
ENSG00000188672.16,1.088558481,4.06E-15
ENSG00000132677.12,2.200726085,1.79E-22
ENSG00000141314.12,-1.029432063,7.09E-08
ENSG00000158315.10,0.722049967,3.01E-09
ENSG00000103269.13,1.886767519,2.05E-21
ENSG00000129667.12,0.859297469,7.70E-23
ENSG00000007384.15,0.590523748,3.01E-14
ENSG00000100263.13,0.995048737,8.19E-32
ENSG00000005486.16,0.692560921,1.31E-22
ENSG00000144468.16,-0.152281045,0.003704367
ENSG00000121446.17,0.259256085,0.028206089
ENSG00000186326.3,0.765089703,1.76E-05
ENSG00000108370.15,-0.899277154,6.00E-08
ENSG00000135824.12,1.408282243,4.67E-14
ENSG00000186479.4,-2.909211674,3.91E-61
ENSG00000182901.15,0.803592767,0.001204002
ENSG00000182732.16,-3.441569084,4.50E-90
ENSG00000143248.12,-1.237012254,3.12E-25
ENSG00000117152.13,1.459970979,3.35E-17
ENSG00000138835.22,-0.289846491,5.32E-07
ENSG00000132554.19,-1.048412376,2.94E-05
ENSG00000147509.13,-0.822316748,1.12E-05
ENSG00000116741.7,-2.353188501,8.13E-77
ENSG00000171700.13,1.034330305,5.52E-43
ENSG00000150681.9,-0.604166159,2.92E-06
ENSG00000091844.7,-0.666876613,1.67E-13
ENSG00000143333.6,0.760923004,2.87E-10
ENSG00000169220.17,0.878330131,1.58E-16
ENSG00000127074.14,-0.647378834,0.000445325
ENSG00000159788.18,-0.105882267,0.211588116
ENSG00000148908.14,0.837960137,7.74E-22
ENSG00000090104.11,0.631923068,0.000168204
ENSG00000148604.13,-2.058151081,5.13E-17
ENSG00000169629.11,-1.310854449,2.80E-25
ENSG00000183054.11,-0.699783788,9.83E-22
ENSG00000015568.12,-0.648805629,2.25E-06
ENSG00000196862.9,0.491259567,0.015259307
ENSG00000153165.18,-0.450780765,0.001424219
ENSG00000185304.13,-0.290230747,0.276049908
ENSG00000107185.9,-0.269616972,3.69E-05
ENSG00000174136.11,-0.484094967,9.91E-14
ENSG00000182175.13,-2.243162023,5.63E-53
ENSG00000159496.14,-0.416530256,0.003864675
ENSG00000237441.9,0.524158469,1.41E-10
ENSG00000143344.15,-1.657455815,1.04E-88
ENSG00000102760.12,-1.58017011,3.88E-90
ENSG00000242732.4,-1.303377005,1.09E-34
ENSG00000243978.8,-0.71472448,2.52E-05
ENSG00000133111.3,-0.707851275,2.02E-30
ENSG00000064490.13,0.773084186,4.12E-24
ENSG00000196460.12,-0.591198431,6.22E-07
ENSG00000181827.14,-0.213889801,0.005353696
ENSG00000185002.9,-3.138202765,7.79E-35
ENSG00000143390.17,0.81389857,5.09E-34
ENSG00000111783.12,-0.985198433,9.43E-07
ENSG00000080298.15,-0.246241122,0.026336516
ENSG00000087903.12,-1.011072672,3.32E-36
ENSG00000132005.8,0.328579747,1.63E-08
ENSG00000168411.13,0.440989132,1.31E-08
ENSG00000143207.19,0.473222088,3.09E-22
ENSG00000162944.10,-1.390044063,5.98E-58
ENSG00000131378.13,-0.773010095,9.82E-19
ENSG00000163933.9,0.165780256,0.000171943
ENSG00000251258.1,-0.841193086,4.15E-05
ENSG00000229292.1,-0.267551809,0.137570624
ENSG00000128276.10,0.235005665,0.035660512
ENSG00000128253.13,0.846759926,3.17E-07
ENSG00000128250.5,0.985893846,1.93E-08
ENSG00000169733.11,0.21974048,0.00533387
ENSG00000135002.11,0.137325238,0.062377312
ENSG00000092871.16,0.208274458,0.002406843
ENSG00000175449.13,-0.120721219,0.23133007
ENSG00000111445.13,0.553576397,2.34E-17
ENSG00000163918.10,1.051448217,2.43E-33
ENSG00000133119.12,0.67212067,4.84E-17
ENSG00000049541.10,0.950918728,2.91E-48
ENSG00000035928.14,-0.280358035,7.23E-07
ENSG00000148300.11,0.364061804,2.19E-10
ENSG00000076043.9,-0.17683997,0.007615576
ENSG00000079313.11,0.248040868,0.000109577
ENSG00000009413.15,-1.152235787,5.24E-45
ENSG00000135945.9,-0.575621069,1.43E-30
ENSG00000042445.13,-1.265922204,1.46E-67
ENSG00000163515.6,0.188284531,0.008604688
ENSG00000104918.7,0.820197496,1.85E-05
ENSG00000165731.17,1.889948695,3.03E-10
ENSG00000084093.15,0.11746907,0.125716379
ENSG00000134533.6,-0.470112187,0.011008461
ENSG00000142599.17,-0.694207906,9.74E-37
ENSG00000157916.18,0.23670601,2.87E-07
ENSG00000169891.17,0.724265328,3.30E-05
ENSG00000214022.11,0.585888574,3.39E-19
ENSG00000174236.3,-0.555507641,1.88E-10
ENSG00000102032.12,0.254252723,0.05239574
ENSG00000143839.13,0.720385973,0.00047262
ENSG00000139890.9,1.513631006,2.70E-23
ENSG00000088320.3,-1.38138748,4.88E-37
ENSG00000054967.12,1.534347472,4.39E-53
ENSG00000164620.8,1.619087106,1.60E-35
ENSG00000181826.9,-0.634999858,2.88E-07
ENSG00000104856.13,0.724672405,1.14E-12
ENSG00000173039.18,0.091456211,0.069721719
ENSG00000134193.14,1.061825066,1.83E-08
ENSG00000143954.12,-0.343228678,1.62E-06
ENSG00000172016.15,0.099296878,0.217981134
ENSG00000172023.7,0.100944673,0.227859748
ENSG00000115386.5,0.213953029,0.166074895
ENSG00000115255.10,0.594021311,0.018102455
ENSG00000129625.12,-0.109812658,0.226960679
ENSG00000168476.11,1.272480635,1.77E-45
ENSG00000165476.12,-0.133594891,0.071694472
ENSG00000132563.15,-0.788314836,1.02E-07
ENSG00000068615.16,0.517792273,0.019143644
ENSG00000108469.14,0.430265036,2.94E-11
ENSG00000160957.12,2.763041764,2.91E-67
ENSG00000122707.11,-1.910813795,1.96E-86
ENSG00000100918.12,0.394684478,0.013690697
ENSG00000183324.10,0.215769704,0.008153487
ENSG00000137710.14,-0.682666348,5.20E-18
ENSG00000278023.4,3.206900271,9.61E-74
ENSG00000080511.3,-0.258857148,0.173693934
ENSG00000139547.7,1.529467496,1.97E-14
ENSG00000240857.1,0.222471797,1.23E-06
ENSG00000160439.15,0.373570752,2.12E-07
ENSG00000139988.9,0.672506821,2.04E-08
ENSG00000072042.12,0.42485481,9.58E-13
ENSG00000198570.5,0.951282189,2.14E-07
ENSG00000109047.7,-1.360005935,2.43E-18
ENSG00000198771.10,-1.034590245,2.92E-25
ENSG00000167771.5,1.241133591,1.05E-10
ENSG00000089902.9,0.115935528,0.107998419
ENSG00000142552.7,0.806652556,8.60E-10
ENSG00000117906.13,0.340425777,4.67E-08
ENSG00000049449.8,-0.125086903,0.208384818
ENSG00000120158.11,-0.296622814,1.30E-06
ENSG00000163743.13,-0.293688304,1.95E-07
ENSG00000173653.7,0.528128935,3.03E-15
ENSG00000166965.12,0.389723236,1.41E-06
ENSG00000179051.13,1.048062867,3.54E-57
ENSG00000180198.15,1.116028891,1.26E-41
ENSG00000136161.12,-1.292113178,3.58E-87
ENSG00000117602.11,0.145014793,0.143734211
ENSG00000172348.14,-1.152386573,3.18E-43
ENSG00000159200.17,-2.079372247,2.61E-82
ENSG00000056586.15,-0.213637653,0.002205312
ENSG00000135870.11,-0.264224786,5.00E-06
ENSG00000100387.8,0.568435161,1.79E-23
ENSG00000131381.12,-0.494116781,6.75E-20
ENSG00000166831.8,-1.433334225,8.18E-41
ENSG00000157110.15,-1.1586394,3.71E-39
ENSG00000124232.10,0.281127389,0.005872367
ENSG00000168214.20,-0.466782608,4.77E-29
ENSG00000265203.1,-0.728708308,0.000109287
ENSG00000114113.6,1.176711182,5.46E-08
ENSG00000114115.9,0.2797043,0.25397282
ENSG00000213516.9,-0.636855651,7.47E-27
ENSG00000134597.13,0.172350235,0.000277635
ENSG00000153250.17,-1.081747384,4.69E-45
ENSG00000265241.6,0.580427877,5.19E-30
ENSG00000076053.10,-0.673778316,5.98E-29
ENSG00000004534.14,-0.336796507,5.37E-10
ENSG00000003756.16,-0.469211306,1.53E-16
ENSG00000173914.11,0.242905512,2.36E-06
ENSG00000127993.14,-0.238011412,2.55E-07
ENSG00000163694.14,0.727482442,7.81E-13
ENSG00000151962.7,-1.638358665,2.64E-17
ENSG00000155636.14,0.348256854,1.42E-21
ENSG00000177483.11,-0.846919621,1.59E-12
ENSG00000184898.6,-0.602277597,1.28E-13
ENSG00000126254.11,0.625357399,1.24E-16
ENSG00000089682.16,-0.196006913,0.011746235
ENSG00000173933.19,0.5243211,6.20E-29
ENSG00000131051.20,0.146265036,0.005388398
ENSG00000132819.16,0.331744363,0.002662139
ENSG00000188739.14,0.607239197,4.17E-22
ENSG00000184863.10,-0.342500861,2.89E-13
ENSG00000139746.15,-0.217145918,4.18E-05
ENSG00000119707.13,-0.123126976,0.026911678
ENSG00000112183.14,-0.468134816,0.152321212
ENSG00000086589.11,-0.066905693,0.181217013
ENSG00000203867.7,-1.077053638,3.23E-09
ENSG00000122965.10,0.080146878,0.154587585
ENSG00000134453.15,0.098267409,0.122466616
ENSG00000259956.1,0.064882183,0.232287206
ENSG00000162775.14,0.165275967,0.007253766
ENSG00000248643.5,0.662626626,1.21E-15
ENSG00000239306.4,0.382168422,3.04E-23
ENSG00000183808.11,0.404662983,4.24E-08
ENSG00000244462.7,0.086965139,0.135905774
ENSG00000185272.13,0.434825623,0.054750786
ENSG00000182872.15,0.463503354,4.44E-21
ENSG00000103479.14,-0.733196032,5.05E-24
ENSG00000080839.11,0.603791169,4.89E-11
ENSG00000171174.13,0.430330854,2.70E-07
ENSG00000167281.18,-0.892497526,5.25E-06
ENSG00000100320.22,-0.858074791,5.89E-55
ENSG00000078328.19,-1.06051542,7.60E-07
ENSG00000125826.19,0.405683574,1.82E-09
ENSG00000130701.3,2.309050078,7.86E-48
